ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,ticket_type,name_type,delivery_method,seller_name,seller_rating,order_num,ticket_tags,first_observed_at,first_observed_source,last_observed_at,sold_at,sold_at_source,status,quantity,price,raw_description,details_fetched,year_month
iugxt1lxm5,1788242283575,kamigata-expo-park-fes-2026,2026-10-31,,[大阪府] 万博記念公園,paper,female,当日手渡し,☁️,5.0,,番手,2026-09-01 05:58:03,,2026-09-01 07:01:20,,,deleted,2,16400,"2名義中2番手
即3.8
定価分チケテン残り手渡し
初期当選/なにわ・Aぇ名義/すり替えなし/下3桁提示可
【お取引について】
・当日は開場30分前を目安に、会場付近にて集合し、同時入場いたします。
・入場後、チケットを一度回収し、こちらで座席を選択後、こちらが選択しなかった座席をお渡しいたします。
・チケットお渡し後は、速やかに受取連絡をお願いいたします。
・公演中止以外の返金はいたしかねます。
・座席等に関するクレームは一切お受けできません。
・トラブル防止のため、代理購入はご遠慮ください。
・日本語でスムーズにやり取りができる女性のみご購入をお願いいたします。",True,2026-09
j29fxafv8p,1788249391935,tvasahi-dream-festival-2026,2026-11-21,15:00,Kアリーナ横浜,pickup_number,female,入金後2日以内に発券番号共有,w,5.0,,,2026-09-01 07:56:31,,2026-09-04 18:01:17,2026-09-01 20:01:18,transition_observed,sold,2,14800,"いち早ぴあプレミアム先行　重複すり替えなし1番手
代金上乗せでアプグレ対応可です。

発券開始後に、発券番号を連絡いたしますのでご自身で発券していただく形になり...",True,2026-09
4js16bidlp,,tvasahi-dream-festival-2026,2026-11-21,15:00,Kアリーナ横浜,paper,female,公演日3日前よりご自身で発券,り,5.0,,QR,2026-09-01 07:31:49,,2026-09-05 00:01:13,,,listing,2,14000,"ぴあプレミアム先行　すり替えなし。

アプグレ対応不可

発券開始後に、発券番号を連絡いたしますのでご自身で発券していただく形になります。

公演中止以外、如何...",True,2026-09
51s1xqdo6q,1788261992970,tvasahi-dream-festival-2026,2026-11-21,15:00,Kアリーナ横浜,electronic,female,分配,ち,5.0,,,2026-09-01 11:26:32,,2026-09-01 14:01:18,,,deleted,2,14210,"ぴあプレ先行、すり替えなし。プラベルにてお取引希望致します。アプグレ対応可能です。
公演中止の場合のみ、定価分返金させていただきます。",True,2026-09
i5t149rd5r,1788265238865,tvasahi-dream-festival-2026,2026-11-21,15:00,Kアリーナ横浜,pickup_number,female,公演2日前(11月19日)に発券番号共有,☆A,5.0,,,2026-09-01 12:20:38,,2026-09-04 18:01:17,2026-09-02 01:01:11,transition_observed,sold,2,9999,"チケットぴあ“いち早プレリザーブ※NICOS限定”での当選。
11/19(木)に発券番号をお伝えしますのでご自身でセブンイレブンで発券してください。
発券に必要...",True,2026-09
5ryxt4tz98,1788253112861,kamigata-expo-park-fes-2026,2026-11-01,,[大阪府] 万博記念公園,electronic,female,公演日7日前までにQRコード共有,さなち,5.0,,QR,2026-09-01 08:58:32,,2026-09-02 14:01:17,,,deleted,2,31000,"FC初期当選分 

QRごとのお渡し 条件なし
 期限内会員 Pay-easy決済 着ブロなし 郵便戻りなし すり替えなし 会員番号の下3桁お伝え。中止の場合の...",True,2026-09
peq9xd3cdw,1788280292756,tvasahi-dream-festival-2026,2026-11-21,15:00,Kアリーナ横浜,pickup_number,female,11/18に発券番号の共有,mimimi,5.0,,同行QR,2026-09-01 16:31:32,,2026-09-02 14:01:17,,,deleted,2,10000,"チケットぴあ いち早プレリザーブ での当選

アプグレなし/1-4連
11/18(木)に発券番号をお伝えしますのでセブンイレブンにてご自身で発券をお願いいたしま...",True,2026-09
p9mku7qv8n,1788257381225,tvasahi-dream-festival-2026,2026-11-23,15:00,Kアリーナ横浜,pickup_number,female,アプグレ当選時は差額当日手渡し,と,5.0,,,2026-09-01 10:09:41,,2026-09-02 09:01:19,,,deleted,2,23000,アプグレ当選時、手渡しの際差額をいただきます。,True,2026-09
gidjqcy1r5,1788313725642,tvasahi-dream-festival-2026,2026-11-21,15:00,Kアリーナ横浜,paper,female,当日手渡し,な,5.0,,ランダム,2026-09-02 01:48:45,,2026-09-02 14:01:17,,,deleted,2,17000,"いち早ぴあプレ当選

9名義中3番手
アプグレ申込予定。アプグレ当選の座席選択された場合、上乗せ可能な方のみお願いいたします。
公演中止以外でのキャンセル・返金...",True,2026-09
10ge80f24w,1788315725641,tvasahi-dream-festival-2026,2026-11-21,15:00,Kアリーナ横浜,pickup_number,female,11/18に発券番号の共有,mimimi,5.0,,同行QR,2026-09-02 02:22:05,,2026-09-02 14:01:17,,,deleted,2,8000,"チケットぴあ いち早プレリザーブ での当選

アプグレなし/2連
分配もしくは発券番号でのお譲り
分配ですとご本人様名義で発券が可能です🙆🏻‍♀️

11/...",True,2026-09
