ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,ticket_type,name_type,delivery_method,seller_name,seller_rating,order_num,ticket_tags,first_observed_at,last_observed_at,sold_at,sold_at_source,status,quantity,price,raw_description,details_fetched,year_month
a1cmbk2uz1,1782059989611,acees-arena-tour-v,2026-08-29,12:30,Asueアリーナ大阪,electronic,female,同行,39,5.0,,番手,2026-06-21 16:39:49,2026-08-28 01:01:21,,,deleted,2,40000,⭐️3名義中2番手⭐️すり替えなし/該当名義/期限内/下3桁提示可能。日本語が話せて円滑なお取引ができる方のみ。,True,2026-06
sold_acees-arena-tour-v_1781158574687_40000,1781158574687,acees-arena-tour-v,2026-08-29,12:30,Asueアリーナ大阪,electronic,female,公演前日QRコード共有,,,,,2026-06-11 06:16:14,2026-08-28 10:01:11,2026-08-27 07:17:28,,sold,2,40000,"QR毎/該当名義/初期当選/有効期限内/同行者登録可/変更ボタンあり/重複すり替えなし/下3桁提示可

購入前にメッセージお願いいたします。
購入者様決定次第専...",False,2026-06
sold_acees-arena-tour-v_1781793073604_55000,1781793073604,acees-arena-tour-v,2026-08-29,12:30,Asueアリーナ大阪,electronic,female,同行,,,,,2026-06-18 14:31:13,2026-08-28 10:01:11,2026-08-27 07:17:28,,sold,1,55000,"2連中1枚同行/初期当選/該当名義/重複すり替えなし/下3桁提示可/有効期限内/サイチェン可/深田担✖️

公演当日開演1時間前を目安に会場付近に集合し、同時入...",False,2026-06
sold_acees-arena-tour-v_1780296055259_13000,1780296055259,acees-arena-tour-v,2026-08-29,12:30,Asueアリーナ大阪,electronic,female,同行,,,,,2026-06-01 06:40:55,2026-08-28 10:01:11,2026-08-27 07:17:28,,sold,1,13000,"
【ランダム配布のためご理解ある方のみご購入ください】

開場30分前に待ち合わせし同時入場していただきます。詳しい待ち合わせ時間や場所は連絡ボードにてご連絡い...",False,2026-06
sold_acees-arena-tour-v_1782814150655_42000,1782814150655,acees-arena-tour-v,2026-08-29,12:30,Asueアリーナ大阪,electronic,female,同行,,,,,2026-06-30 10:09:10,2026-08-28 10:01:11,2026-08-27 07:17:28,,sold,1,42000,"当方と同行になります。（2連中1枚）
本人確認対応可能/初期当選/重複・すり替えなし/該当名義/有効期限内/下3桁提示可/着ブロ希望なし/変更ボタンあり

・当...",False,2026-06
sold_acees-arena-tour-v_1781632932140_29500,1781632932140,acees-arena-tour-v,2026-08-29,12:30,Asueアリーナ大阪,electronic,female,３名義中3番手,,,,,2026-06-16 18:02:12,2026-08-28 10:01:11,2026-08-27 07:17:28,,sold,1,29500,3名義中3番手／初期当選 ／該当名義 ／変更ボタン有／有効期限内 ／すり替えなし ／下3桁提示可　／コンビニ支払い／着ブロ希望無／全てエラーはでていなく、退場名...,False,2026-06
sold_acees-arena-tour-v_1781164701981_35000,1781164701981,acees-arena-tour-v,2026-08-29,12:30,Asueアリーナ大阪,electronic,female,同行,,,,,2026-06-11 07:58:21,2026-08-28 10:01:11,2026-08-27 07:17:28,,sold,1,35000,"座席未定／3名義中3番手／すべて有効期間内該当名義ボタンあり／すり替えなし下3桁提示可 

3名義ともACEes該当名義・指定席・初期当選・有効期限内ボタンあり...",False,2026-06
sold_acees-arena-tour-v_1781488419078_45000,1781488419078,acees-arena-tour-v,2026-08-29,12:30,Asueアリーナ大阪,electronic,female,同行,,,,,2026-06-15 01:53:39,2026-08-28 10:01:11,2026-08-27 07:17:28,,sold,1,45000,"2連中の1枚(同行)/重複すり替え無し/初期当選/該当名義(変更ボタンあり)/有効期限内/下3桁提示可

当方那須担になりますので担当を気にされる方は購入をお控...",False,2026-06
sold_acees-arena-tour-v_1782566734862_9900,1782566734862,acees-arena-tour-v,2026-08-29,17:30,Asueアリーナ大阪,electronic,female,同行,,,,,2026-06-27 13:25:34,2026-08-28 10:01:11,2026-08-27 07:17:28,,sold,1,9900,"【ランダム配布】 5-10分前のお渡し 初期当選のみ

【下記注意事項を必ずご一読ください】
※公演当日、当方と同時入場をしていただきます。
※入場の際、QRコ...",False,2026-06
sold_acees-arena-tour-v_1780296000361_12000,1780296000361,acees-arena-tour-v,2026-08-29,17:30,Asueアリーナ大阪,electronic,female,同行,,,,,2026-06-01 06:40:00,2026-08-28 10:01:11,2026-08-27 07:17:28,,sold,1,12000,"
【ランダム配布のためご理解ある方のみご購入ください】

開場30分前に待ち合わせし同時入場していただきます。詳しい待ち合わせ時間や場所は連絡ボードにてご連絡い...",False,2026-06
