ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,ticket_type,name_type,delivery_method,seller_name,seller_rating,order_num,ticket_tags,first_observed_at,last_observed_at,sold_at,sold_at_source,status,quantity,price,raw_description,details_fetched,year_month
iugxt1lxm5,1788242283575,kamigata-expo-park-fes-2026,2026-10-31,,[大阪府] 万博記念公園,paper,female,当日手渡し,☁️,5.0,,番手,2026-09-01 05:58:03,2026-09-01 07:01:20,,,deleted,2,16400,"2名義中2番手
即3.8
定価分チケテン残り手渡し
初期当選/なにわ・Aぇ名義/すり替えなし/下3桁提示可
【お取引について】
・当日は開場30分前を目安に、会場付近にて集合し、同時入場いたします。
・入場後、チケットを一度回収し、こちらで座席を選択後、こちらが選択しなかった座席をお渡しいたします。
・チケットお渡し後は、速やかに受取連絡をお願いいたします。
・公演中止以外の返金はいたしかねます。
・座席等に関するクレームは一切お受けできません。
・トラブル防止のため、代理購入はご遠慮ください。
・日本語でスムーズにやり取りができる女性のみご購入をお願いいたします。",True,2026-09
5ryxt4tz98,1788253112861,kamigata-expo-park-fes-2026,2026-11-01,,[大阪府] 万博記念公園,electronic,female,公演日7日前までにQRコード共有,さなち,5.0,,QR,2026-09-01 08:58:32,2026-09-02 14:01:17,,,deleted,2,31000,"FC初期当選分 

QRごとのお渡し 条件なし
 期限内会員 Pay-easy決済 着ブロなし 郵便戻りなし すり替えなし 会員番号の下3桁お伝え。中止の場合の...",True,2026-09
xo846gxsx4,1788302427527,kamiyama-tomohiro-1st-live-tour-2026-input-output,2026-09-18,18:00,Zepp Haneda (TOKYO),electronic,female,当日合流後ログイン情報共有,ぷぷぷ,5.0,,ランダム記載あり,2026-09-01 22:40:27,2026-09-04 18:01:17,2026-09-02 23:01:22,transition_observed,sold,1,9000,"FC先行/初期当選/着ブロ希望なし/有効期限内名義/神山名義（変更ボタンあり）/Pay-easy決済

公演当日、開場15〜30分前に会場付近にてお待ち合わせし...",True,2026-09
frgh5ft930,,kamigata-expo-park-fes-2026,2026-10-31,,[大阪府] 万博記念公園,electronic,female,QRごと 公演前日QRコード共有,くま,5.0,,,2026-09-03 10:51:53,2026-09-04 19:01:10,2026-09-04 19:01:10,transition_observed,sold,1,30000,"QRごと Aぇ名義 有効期限内 下3桁開示可
公演前日にマイページにてログイン情報お伝えします。入場後は速やかにログアウト及び受け取り評価をお願いします。公演中...",True,2026-09
cq92lv5af1,,kamigata-expo-park-fes-2026,2026-10-31,,[大阪府] 万博記念公園,electronic,female,公演日前日までにログイン情報共有,C,5.0,,QR,2026-09-03 15:03:43,2026-09-04 19:01:10,,,listing,2,45000,FC初期当選 / なにわ名義 / 重複すり替えなし / QR毎2連 / 郵送物エラー等なし / 下3桁提示可,True,2026-09
vg7jm1jmd8,,kamigata-expo-park-fes-2026,2026-10-31,,[大阪府] 万博記念公園,electronic,female,公演日前日にログイン情報共有,my,5.0,,QR,2026-09-02 11:49:23,2026-09-04 19:01:10,,,listing,2,40000,"WEST.名義/QRごと/すり替えなし/会員番号下3桁提示可/初期当選/有効期限内

・公演日の前日にログイン情報をお伝えします。
・ログイン情報は他の方にお伝...",True,2026-09
4pr15tbdec,,kamigata-expo-park-fes-2026,2026-10-31,,[大阪府] 万博記念公園,electronic,female,公演前日にログイン情報共有,い,5.0,,QR,2026-09-01 07:40:30,2026-09-04 19:01:10,,,listing,1,40000,"なにわ男子名義 / QR毎 / 重複すり替えなし / 初期当選 / 有効期間内 / 下3桁提示

エラー歴なし

公演の前日に連絡ボードにてログイン情報をお伝え...",True,2026-09
k7mpth5bqf,,kamigata-expo-park-fes-2026,2026-10-31,,[大阪府] 万博記念公園,electronic,female,2名義中2番手,a,5.0,,番手,2026-09-02 15:37:23,2026-09-04 19:01:10,,,listing,2,25000,"【2名義中2番手】/初期当選/該当名義/有効期限内/変更ボタンあり/重複すり替えなし/下3桁提示可/EIGHT名義、ジュニア名義

※~8:30前集合可能な方の...",True,2026-09
1mg9lw2m3h,,kamigata-expo-park-fes-2026,2026-10-31,,[大阪府] 万博記念公園,electronic,female,公演日前日までにログイン情報共有,23,5.0,,QR,2026-09-03 10:33:59,2026-09-04 19:01:10,,,listing,2,30000,"QR毎のお譲り
ジュニア名義（嶋﨑名義）×一般名義／下3桁提示可能／有効期限内／
前日までにログイン情報をお伝えさせていただきますので、ログインし確認お願いいた...",True,2026-09
oajkr9cdlt,,kamigata-expo-park-fes-2026,2026-10-31,,[大阪府] 万博記念公園,electronic,female,同行,R,5.0,,同行,2026-09-01 12:17:46,2026-09-04 19:01:10,2026-09-04 19:01:10,transition_observed,sold,1,40000,"2名義中1番手 当方と同行

11/1もあるのでお声かけください

",True,2026-09
