year_month,event_id,perf_date,perf_time,venue,total_tickets,active_tickets,current_active_tickets,current_avg_price,current_min_price,current_max_price,sold_tickets,deleted_tickets,avg_price,min_price,max_price
2026-09,kamigata-expo-park-fes-2026,2026-10-31,,[大阪府] 万博記念公園,201,185,87,35005.95238095238,17500,85000,15,1,33383.58208955224,0,85000
2026-09,kamigata-expo-park-fes-2026,2026-11-01,,[大阪府] 万博記念公園,156,148,70,31712.214285714286,20000,67000,7,1,31432.115384615383,6200,67000
2026-09,kamiyama-tomohiro-1st-live-tour-2026-input-output,2026-09-18,18:00,Zepp Haneda (TOKYO),8,4,0,0.0,0,0,4,0,12750.0,9000,20000
2026-09,kamiyama-tomohiro-1st-live-tour-2026-input-output,2026-09-19,13:00,Zepp Haneda (TOKYO),3,2,0,0.0,0,0,1,0,9333.333333333334,9000,10000
2026-09,kamiyama-tomohiro-1st-live-tour-2026-input-output,2026-09-19,18:00,Zepp Haneda (TOKYO),4,4,0,0.0,0,0,0,0,13750.0,10000,17000
2026-09,kamiyama-tomohiro-1st-live-tour-2026-input-output,2026-09-30,19:00,Zepp Nagoya,3,3,1,30000.0,30000,30000,0,0,26666.666666666668,20000,30000
2026-09,kamiyama-tomohiro-1st-live-tour-2026-input-output,2026-10-01,13:00,Zepp Nagoya,5,5,2,25500.0,21000,30000,0,0,22200.0,10000,30000
2026-09,kamiyama-tomohiro-1st-live-tour-2026-input-output,2026-10-01,18:00,Zepp Nagoya,7,6,3,13000.0,11000,15000,0,1,8571.42857142857,0,15000
2026-09,kamiyama-tomohiro-1st-live-tour-2026-input-output,2026-10-14,19:00,Zepp Namba (OSAKA),22,22,10,16300.0,9000,50000,0,0,15681.818181818182,9000,50000
2026-09,kamiyama-tomohiro-1st-live-tour-2026-input-output,2026-10-15,13:00,Zepp Namba (OSAKA),8,8,3,9666.666666666666,9000,11000,0,0,10250.0,9000,15000
2026-09,kamiyama-tomohiro-1st-live-tour-2026-input-output,2026-10-15,18:00,Zepp Namba (OSAKA),27,25,11,22199.0,8000,45000,2,0,18163.25925925926,0,45000
2026-09,rocknroll-stage-2026,2026-11-06,18:00,兵庫県立芸術文化センター 阪急 中ホール,2,0,0,0.0,0,0,0,2,30000.0,30000,30000
2026-09,rocknroll-stage-2026,2026-11-07,13:00,兵庫県立芸術文化センター 阪急 中ホール,21,2,1,0.0,0,0,0,19,0.0,0,0
2026-09,rocknroll-stage-2026,2026-11-07,18:00,兵庫県立芸術文化センター 阪急 中ホール,22,2,1,30000.0,30000,30000,0,20,29318.18181818182,25000,30000
2026-09,rocknroll-stage-2026,2026-11-13,18:00,東京建物 ぴあ シアター,30,0,0,0.0,0,0,0,30,27050.0,18000,32000
2026-09,rocknroll-stage-2026,2026-11-14,13:00,東京建物 ぴあ シアター,1,0,0,0.0,0,0,1,0,25000.0,25000,25000
2026-09,rocknroll-stage-2026,2026-11-17,18:00,東京建物 ぴあ シアター,18,2,1,20000.0,20000,20000,0,16,20000.0,20000,20000
2026-09,rocknroll-stage-2026,2026-11-19,18:00,東京建物 ぴあ シアター,6,2,1,0.0,0,0,0,4,0.0,0,0
2026-09,rocknroll-stage-2026,2026-11-20,13:00,東京建物 ぴあ シアター,22,2,1,0.0,0,0,0,20,23181.81818181818,0,30000
2026-09,rocknroll-stage-2026,2026-11-25,18:00,東京建物 ぴあ シアター,39,6,3,57500.0,30000,85000,0,33,52692.307692307695,0,85000
2026-09,rocknroll-stage-2026,2026-11-26,13:00,東京建物 ぴあ シアター,21,2,1,16500.0,16500,16500,0,19,16500.0,16500,16500
2026-09,rocknroll-stage-2026,2026-11-29,13:00,東京建物 ぴあ シアター,16,4,2,20683.0,20683,20683,0,12,20683.0,20683,20683
2026-09,rocknroll-stage-2026,2026-12-01,13:00,東京建物 ぴあ シアター,84,8,4,0.0,0,0,0,76,0.0,0,0
2026-09,rocknroll-stage-2026,2026-12-05,18:00,東京建物 ぴあ シアター,30,4,2,27500.0,25000,30000,0,26,28700.0,25000,31500
2026-09,rocknroll-stage-2026,2026-12-06,13:00,東京建物 ぴあ シアター,17,2,1,0.0,0,0,0,15,0.0,0,0
