year_month,event_id,perf_date,perf_time,venue,total_tickets,active_tickets,sold_tickets,deleted_tickets,avg_price,min_price,max_price
2026-08,akechico,2026-08-27,18:00,[大阪府] フェスティバルホール,6,0,2,4,20000.0,7000,60000
2026-08,akechico,2026-08-28,12:30,[大阪府] フェスティバルホール,3,0,1,2,9666.666666666666,5000,12000
2026-08,akechico,2026-08-29,12:30,[大阪府] フェスティバルホール,19,0,1,18,20842.105263157893,5000,56000
2026-08,akechico,2026-08-29,18:00,[大阪府] フェスティバルホール,31,9,4,18,22612.90322580645,0,63000
2026-08,akechico,2026-08-30,12:30,[大阪府] フェスティバルホール,32,9,9,14,23056.25,0,100000
2026-08,kamigata-expo-park-fes-2026,2026-10-31,,[大阪府] 万博記念公園,110,76,28,6,36022.72727272727,0,65000
2026-08,kamigata-expo-park-fes-2026,2026-11-01,,[大阪府] 万博記念公園,90,57,33,0,35757.15555555555,6200,75000
2026-08,kamiyama-tomohiro-1st-live-tour-2026-input-output,2026-09-18,18:00,Zepp Haneda (TOKYO),8,5,3,0,10812.5,10000,13000
2026-08,kamiyama-tomohiro-1st-live-tour-2026-input-output,2026-09-19,13:00,Zepp Haneda (TOKYO),9,8,1,0,14555.555555555555,0,20000
2026-08,kamiyama-tomohiro-1st-live-tour-2026-input-output,2026-09-19,18:00,Zepp Haneda (TOKYO),7,3,4,0,15285.714285714286,10000,22000
2026-08,kamiyama-tomohiro-1st-live-tour-2026-input-output,2026-09-30,19:00,Zepp Nagoya,3,2,0,1,8600.0,7800,10000
2026-08,kamiyama-tomohiro-1st-live-tour-2026-input-output,2026-10-01,13:00,Zepp Nagoya,4,4,0,0,8200.0,6500,9800
2026-08,kamiyama-tomohiro-1st-live-tour-2026-input-output,2026-10-01,18:00,Zepp Nagoya,7,6,1,0,10857.142857142857,5000,20000
2026-08,kamiyama-tomohiro-1st-live-tour-2026-input-output,2026-10-14,19:00,Zepp Namba (OSAKA),8,6,2,0,12500.0,8000,22500
2026-08,kamiyama-tomohiro-1st-live-tour-2026-input-output,2026-10-15,13:00,Zepp Namba (OSAKA),3,2,1,0,9500.0,8000,10500
2026-08,kamiyama-tomohiro-1st-live-tour-2026-input-output,2026-10-15,18:00,Zepp Namba (OSAKA),11,6,5,0,11759.636363636364,0,38000
2026-08,rocknroll-stage-2026,2026-11-13,18:00,東京建物 ぴあ シアター,1,1,0,0,35000.0,35000,35000
2026-08,rocknroll-stage-2026,2026-11-25,18:00,東京建物 ぴあ シアター,1,1,0,0,85000.0,85000,85000
2026-08,rocknroll-stage-2026,2026-11-26,13:00,東京建物 ぴあ シアター,1,1,0,0,16500.0,16500,16500
2026-08,rocknroll-stage-2026,2026-12-01,13:00,東京建物 ぴあ シアター,4,4,0,0,0.0,0,0
2026-08,rocknroll-stage-2026,2026-12-05,13:00,東京建物 ぴあ シアター,1,0,1,0,25000.0,25000,25000
2026-08,rocknroll-stage-2026,2026-12-05,18:00,東京建物 ぴあ シアター,1,1,0,0,31500.0,31500,31500
