year_month,event_id,perf_date,perf_time,venue,total_tickets,active_tickets,sold_tickets,deleted_tickets,avg_price,min_price,max_price
2026-09,kamigata-expo-park-fes-2026,2026-10-31,,[大阪府] 万博記念公園,2,1,0,1,28200.0,16400,40000
2026-09,kamigata-expo-park-fes-2026,2026-11-01,,[大阪府] 万博記念公園,2,2,0,0,31200.0,30000,32400
2026-09,naniwa-danshi-nd5,2026-09-05,13:30,朱鷺メッセ 新潟コンベンションセンター,9,9,0,0,22333.333333333332,12000,43000
2026-09,naniwa-danshi-nd5,2026-09-05,18:00,朱鷺メッセ 新潟コンベンションセンター,2,1,0,1,45000.0,40000,50000
2026-09,naniwa-danshi-nd5,2026-09-06,13:00,朱鷺メッセ 新潟コンベンションセンター,3,3,0,0,46000.0,38000,50000
2026-09,naniwa-danshi-nd5,2026-09-06,17:30,朱鷺メッセ 新潟コンベンションセンター,8,7,1,0,33812.5,5500,46000
2026-09,naniwa-danshi-nd5,2026-09-19,13:30,あなぶきアリーナ香川,1,1,0,0,85000.0,85000,85000
2026-09,naniwa-danshi-nd5,2026-09-19,18:00,あなぶきアリーナ香川,1,1,0,0,35000.0,35000,35000
2026-09,naniwa-danshi-nd5,2026-09-20,13:00,あなぶきアリーナ香川,2,1,0,1,40000.0,0,80000
2026-09,naniwa-danshi-nd5,2026-09-21,14:00,あなぶきアリーナ香川,3,3,0,0,33666.666666666664,25000,51000
2026-09,naniwa-danshi-nd5,2026-10-10,13:30,エコパアリーナ,1,1,0,0,70000.0,70000,70000
2026-09,naniwa-danshi-nd5,2026-10-10,18:00,エコパアリーナ,2,2,0,0,55000.0,55000,55000
2026-09,naniwa-danshi-nd5,2026-10-27,18:00,ららアリーナ 東京ベイ（LaLa arena TOKYO-BAY）,1,1,0,0,50000.0,50000,50000
